line,trip,hour,num_val,output_escalator_count,output_doors_count,output_turnstile_count,input_turnstile_total_bandwidth,input_turnstile_count,input_doors_count,entry_id,year,month,day,cluster
КАЛУЖСКО-РИЖСКАЯ,Академическая - Академическая,6.0,274.0,0.0,3.0,4.0,5.0,5.0,3.0,2.0,2023,4,22,2
СОКОЛЬНИЧЕСКАЯ,Пр-т Вернадск.СЛ - Пр-т Вернадск.СЛ,22.0,145.0,0.0,3.0,0.0,6.0,6.0,3.0,1.0,2023,7,15,0
СЕРПУХОВ-ТИМИРЯЗ,Южная - Южная,13.0,455.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,2,27,0
ФИЛЁВСКАЯ,Филёвский парк - Филёвский парк,23.0,45.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,2023,1,29,0
СОЛНЦЕВСКАЯ ЛИН.,Раменки - Раменки,11.0,353.0,,,,,,,,2023,1,22,2
КАЛУЖСКО-РИЖСКАЯ,ВДНХ - ВДНХ,10.0,989.0,0.0,5.0,0.0,10.0,10.0,5.0,1.0,2023,2,1,1
ТАГАНСК-КРАСНОПР,Выхино - Выхино,19.0,1185.0,0.0,0.0,0.0,23.0,23.0,4.0,5.0,2023,6,23,1
КАЛУЖСКО-РИЖСКАЯ,Тёплый стан - Тёплый стан,19.0,1327.0,0.0,4.0,5.0,8.0,8.0,4.0,2.0,2023,7,25,0
БУТОВСКАЯ ЛИНИЯ,Лесопарковая - Лесопарковая,9.0,149.0,,,,,,,,2023,2,19,2
МЦК,Крымская МЦК - Крымская МЦК,7.0,844.0,,,,,,,,2023,6,28,0
МЦК,Кутузовская МЦК - Кутузовская МЦК,17.0,547.0,,,,,,,,2023,1,8,0
ФИЛЁВСКАЯ,Александр. сад - Александр. сад,7.0,116.0,0.0,4.0,4.0,8.0,8.0,10.0,5.0,2023,4,18,1
АРБАТСК-ПОКРОВСК,Измайловская - Измайловская,13.0,461.0,0.0,3.0,5.0,5.0,5.0,3.0,3.0,2023,7,19,0
ЛЮБЛИНСКАЯ,Шипиловская - Шипиловская,20.0,87.0,0.0,4.0,5.0,7.0,7.0,4.0,12.0,2023,8,19,1
СЕРПУХОВ-ТИМИРЯЗ,Б-р Дм. Донского - Б-р Дм. Донского,11.0,1096.0,0.0,4.0,5.0,12.0,12.0,4.0,2.0,2023,5,1,1
СОКОЛЬНИЧЕСКАЯ,Университет - Университет,12.0,595.0,0.0,4.0,0.0,7.0,7.0,6.0,1.0,2023,3,9,0
СОКОЛЬНИЧЕСКАЯ,Университет - Университет,23.0,250.0,0.0,4.0,0.0,10.0,10.0,6.0,2.0,2023,7,22,1
МИНИМЕТРО,Выставочная - Выставочная,2.0,1.0,0.0,0.0,0.0,7.0,7.0,6.0,5.0,2023,4,26,2
СЕРПУХОВ-ТИМИРЯЗ,Аннино - Аннино,20.0,727.0,0.0,4.0,6.0,7.0,7.0,4.0,5.0,2023,3,31,0
СЕРПУХОВ-ТИМИРЯЗ,Нахимовский пр-т - Нахимовский пр-т,0.0,31.0,0.0,4.0,5.0,8.0,8.0,4.0,2.0,2023,5,7,2
ЗАМОСКВОРЕЦКАЯ,Войковская - Войковская,10.0,567.0,0.0,3.0,0.0,7.0,7.0,3.0,1.0,2023,7,22,0
ЗАМОСКВОРЕЦКАЯ,Домодедовская - Домодедовская,2.0,3.0,2.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,5,2,2
АРБАТСК-ПОКРОВСК,Парк Победы АП - Парк Победы АП,23.0,185.0,,,,,,,,2023,3,30,0
ФИЛЁВСКАЯ,Филёвский парк - Филёвский парк,15.0,268.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,2023,1,29,0
СОКОЛЬНИЧЕСКАЯ,Университет - Университет,19.0,532.0,0.0,4.0,0.0,7.0,7.0,6.0,1.0,2023,2,25,0
СЕРПУХОВ-ТИМИРЯЗ,Отрадное - Отрадное,8.0,1220.0,0.0,4.0,8.0,9.0,9.0,4.0,2.0,2023,1,14,0
ЛЮБЛИНСКАЯ,Борисово - Борисово,18.0,263.0,0.0,4.0,6.0,7.0,7.0,4.0,13.0,2023,3,21,1
СОКОЛЬНИЧЕСКАЯ,Красносельская - Красносельская,21.0,911.0,0.0,3.0,0.0,6.0,6.0,3.0,5.0,2023,3,31,0
КАЛИНИНСКАЯ,Перово - Перово,18.0,863.0,0.0,4.0,0.0,9.0,9.0,4.0,4.0,2023,1,26,0
БКЛ,Сокольники БКЛ - Сокольники БКЛ,5.0,11.0,,,,,,,,2023,4,5,2
ЛЮБЛИНСКАЯ,Борисово - Борисово,0.0,21.0,0.0,4.0,6.0,9.0,9.0,4.0,12.0,2023,8,2,2
КОЛЬЦЕВАЯ,Курская КЛ - Курская КЛ,6.0,236.0,0.0,2.0,2.0,9.0,9.0,2.0,10.0,2023,8,12,2
АРБАТСК-ПОКРОВСК,Волоколамская - Волоколамская,0.0,58.0,0.0,0.0,6.0,9.0,9.0,4.0,0.0,2023,6,2,2
ЗАМОСКВОРЕЦКАЯ,Красногвардейск. - Красногвардейск.,11.0,374.0,2.0,4.0,5.0,8.0,8.0,4.0,2.0,2023,6,25,0
МЦК,Белокаменная МЦК - Белокаменная МЦК,21.0,31.0,,,,,,,,2023,1,4,0
БКЛ,Каширская - Каширская,1.0,3.0,1.0,4.0,6.0,10.0,10.0,6.0,2.0,2023,7,16,2
ЛЮБЛИНСКАЯ,Бутырская - Бутырская,23.0,47.0,,,,,,,,2023,5,6,0
МЦК,Дубровка МЦК - Дубровка МЦК,1.0,3.0,,,,,,,,2023,7,11,2
КАЛУЖСКО-РИЖСКАЯ,Профсоюзная - Профсоюзная,2.0,1.0,0.0,3.0,4.0,5.0,5.0,3.0,1.0,2023,5,17,2
ЛЮБЛИНСКАЯ,Люблино - Люблино,17.0,953.0,0.0,4.0,5.0,8.0,8.0,4.0,13.0,2023,4,13,1
КОЛЬЦЕВАЯ,Белорусская КЛ - Белорусская КЛ,1.0,8.0,0.0,5.0,8.0,10.0,10.0,5.0,4.0,2023,8,5,2
ЗАМОСКВОРЕЦКАЯ,Ховрино - Ховрино,5.0,387.0,,,,,,,,2023,6,19,2
ТАГАНСК-КРАСНОПР,Рязанский пр-т - Рязанский пр-т,9.0,804.0,0.0,3.0,4.0,7.0,7.0,3.0,3.0,2023,2,19,0
ТАГАНСК-КРАСНОПР,Рязанский пр-т - Рязанский пр-т,19.0,707.0,0.0,3.0,4.0,7.0,7.0,3.0,4.0,2023,3,4,0
ЗАМОСКВОРЕЦКАЯ,Технопарк - Технопарк,23.0,174.0,,,,,,,,2023,8,2,0
МЦК,Шелепиха МЦК - Шелепиха МЦК,19.0,926.0,,,,,,,,2023,7,21,0
МЦК,Пл. Гагарина МЦК - Пл. Гагарина МЦК,6.0,104.0,,,,,,,,2023,6,14,2
